genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,Title
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,3292,2,11,0.1357734,0.13085566,0.11337394,0.19668310880661,2.77753782272339,11,5289.63757324219,3373.23413085938,213,0,0,213,352.1284375,14.04359375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,31193,1,2,0.11983693,0.10599519,0.10006174,0.19668310880661,2.77753782272339,14,4106.29064941406,2422.20324707031,229,0,0,229,659.14578125,7.90234375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,27605,2,5,0.115315124,0.11268116,0.07751753,0.19668310880661,2.77753782272339,5,1076.544921875,3476.27338867187,335,0,0,335,846.54421875,8.08296875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,416,2,12,0.12651086,0.11852054,0.07617381,0.19668310880661,2.77753782272339,2,3321.12784423828,3396.8888671875,233,0,0,233,334.87875,21.2234375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,1457,2,5,0.15234764,0.08976976,0.0641873,0.19668310880661,2.77753782272339,14,4425.92385253906,2538.85786132813,175,0,0,175,782.0159375,4.876875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,18763,4,2,0.089549765,0.08935568,0.08869078,0.19668310880661,2.77753782272339,14,2716.35720214844,1979.04549560547,246,0,0,246,353.43796875,13.9984375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,10039,12,2,0.1282167,0.123340346,0.11244702,0.19668310880661,2.77753782272339,10,4343.68012695313,1278.13095092773,388,1,0,389,781.69984375,22.44265625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,32000,2,12,0.14188392,0.13870525,0.11819115,0.19668310880661,2.77753782272339,12,3345.32628173828,2446.71192626953,262,0,0,262,634.2646875,23.661875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,3047,1,5,0.11883039,0.09221055,0.08383576,0.19668310880661,2.77753782272339,12,5177.08188476563,2526.66256103516,61,0,0,61,202.52578125,9.34734375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,25949,2,11,0.11673876,0.1046114,0.10082628,0.19668310880661,2.77753782272339,8,1034.01410522461,2758.96407470703,365,0,0,366,466.554375,30.6159375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,25987,2,11,0.13215587,0.12825094,0.10855986,0.19668310880661,2.77753782272339,8,1202.06414794922,2586.62947998047,281,0,0,281,512.83953125,43.84671875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,32731,2,7,0.1309162,0.1251484,0.10419672,0.19668310880661,2.77753782272339,5,3578.37880859375,2372.34252929688,131,0,0,131,477.34671875,5.3284375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
