genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,status,Title
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,1925,13,2,0.130708,0.12413411,0.10106585,0.156387061,2.93473196,17,4947.813062,2990.634521,114,0,0,114,333.253125,56.2646875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,30945,13,2,0.15966757,0.13888015,0.09689714,0.156387061,2.93473196,19,5047.692627,2736.071558,108,0,0,108,81.05546875,27.09375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,10479,2,9,0.15224208,0.13910538,0.102591336,0.156387061,2.93473196,1,494.3970215,2810.04729,50,0,0,50,75.45609375,18.01734375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,1902,2,13,0.1431689,0.13506992,0.10007027,0.156387061,2.93473196,17,4953.80332,3244.152832,107,0,0,107,178.4575,50.1234375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14751,2,4,0.08217895,0.08069962,0.071349084,0.156387061,2.93473196,20,4882.194556,3099.812415,121,0,0,121,128.4695313,52.561875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,7123,13,2,0.15415949,0.14716554,0.10675489,0.156387061,2.93473196,17,2347.478992,2980.095227,121,1,0,122,139.6682813,49.2203125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,8723,13,2,0.16341485,0.14126977,0.12577412,0.156387061,2.93473196,1,4785.368848,1416.562872,71,0,0,71,88.09984375,31.42875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,31266,2,13,0.10358276,0.10059041,0.09830615,0.156387061,2.93473196,2,3969.876855,1971.347351,87,0,0,87,159.2660938,26.7325,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,17221,2,13,0.12552007,0.12073137,0.115297,0.156387061,2.93473196,7,4142.460889,2933.16842,137,0,0,137,66.9215625,26.77765625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,6477,13,2,0.15770419,0.12119041,0.1079521,0.156387061,2.93473196,17,2351.590369,3117.90625,51,0,0,51,66.5603125,27.0034375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,18217,2,13,0.09343143,0.086883515,0.07235614,0.156387061,2.93473196,2,2648.647522,2518.459521,57,0,0,58,79.2040625,13.36625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5291,13,2,0.10249533,0.10248344,0.09651297,0.156387061,2.93473196,1,1703.429156,1859.443066,113,0,0,113,81.68765625,31.74484375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5725,13,8,0.0928199,0.09172893,0.086128496,0.156387061,2.93473196,17,2353.366943,3279.064465,144,0,0,145,150.9121875,52.4715625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,36508,13,2,0.080356255,0.06698218,0.06610177,0.156387061,2.93473196,1,3449.13689,2963.401111,296,0,0,297,196.9264063,47.36890625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,6947,2,13,0.12743787,0.10502042,0.09935191,0.156387061,2.93473196,21,1964.940186,2982.80647,192,0,0,192,162.2915625,56.40015625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5918,13,9,0.14916542,0.14322297,0.0981802,0.156387061,2.93473196,2,2423.077319,2702.962231,214,0,0,214,121.560625,65.79265625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15226,13,2,0.122919485,0.11945165,0.1139986,0.156387061,2.93473196,17,4868.812451,2813.162988,100,0,0,100,85.8871875,25.1971875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,30636,13,2,0.12420887,0.11837999,0.09668658,0.156387061,2.93473196,13,5104.047876,2983.38877,106,0,0,106,64.9346875,17.38515625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14625,2,13,0.11941389,0.11586088,0.10936793,0.156387061,2.93473196,17,4923.053491,3183.160974,114,0,0,114,290.8514063,71.12109375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,6529,9,2,0.1509803,0.13846184,0.10352241,0.156387061,2.93473196,21,2349.071704,2793.602197,89,0,0,89,90.35765625,36.89265625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,29614,2,13,0.13501751,0.1209847,0.10804043,0.156387061,2.93473196,1,5263.226563,3259.098596,128,0,0,128,114.8323438,24.61015625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15880,13,2,0.15936856,0.15431635,0.101732545,0.156387061,2.93473196,13,4663.728369,2921.15968,197,0,0,197,120.5220313,48.81390625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,6052,13,2,0.15643306,0.135931,0.10598798,0.156387061,2.93473196,17,2382.010034,2966.788037,236,0,0,236,239.9603125,50.1234375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5430,2,9,0.12615356,0.10642081,0.09948167,0.156387061,2.93473196,11,3819.196924,3465.744263,173,0,0,173,67.55375,20.00421875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,11097,2,13,0.16477047,0.1419114,0.13000572,0.156387061,2.93473196,9,4800.63855,1897.050793,63,0,0,63,43.21453125,11.69546875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,34508,13,2,0.12805563,0.10017198,0.0836403,0.156387061,2.93473196,18,4065.566602,3165.907593,97,0,0,97,110.18125,45.336875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,2502,2,13,0.14446919,0.12992695,0.09180504,0.156387061,2.93473196,12,3314.963684,2910.220496,352,0,0,352,167.3490625,76.765625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,27795,1,2,0.21612014,0.118323214,0.10794057,0.156387061,2.93473196,3,4082.354517,1319.561084,298,0,0,298,424.8751563,41.76953125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,20734,1,2,0.14865974,0.091905326,0.08701742,0.156387061,2.93473196,2,3242.671558,3000.693823,267,0,0,267,111.445625,47.27859375,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,20550,2,19,0.31070915,0.13343625,0.080205746,0.156387061,2.93473196,18,3078.243665,3113.851941,191,0,0,191,188.4370313,35.26703125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,1947,19,2,0.41988483,0.10750308,0.067048386,0.156387061,2.93473196,1,4120.064966,3203.209851,158,0,0,158,137.816875,38.33765625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,7817,19,2,0.39649177,0.08963757,0.07045411,0.156387061,2.93473196,9,4398.418384,591.2527679,37,0,0,37,150.821875,15.75953125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,8262,1,2,0.20639034,0.11981284,0.10597059,0.156387061,2.93473196,19,574.3851135,2344.338599,262,0,0,262,490.8484375,44.1628125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,32617,2,19,0.1897152,0.18407923,0.058010586,0.156387061,2.93473196,26,3384.275623,1982.451929,39,0,0,39,49.98796875,8.80546875,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,23611,2,1,0.17500362,0.1067834,0.10230788,0.156387061,2.93473196,19,2885.663879,3459.859216,67,0,0,67,100.78875,9.211875,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,26704,2,1,0.15384853,0.13503125,0.084667936,0.156387061,2.93473196,12,5099.78833,2453.944812,75,0,0,75,107.2009375,21.855625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,7752,2,1,0.3244505,0.10064609,0.062185336,0.156387061,2.93473196,1,4910.183545,829.1602142,258,0,0,258,321.87375,39.78265625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,5557,2,17,0.14386117,0.11191554,0.07498352,0.156387061,2.93473196,9,2418.51604,3090.744019,257,0,0,258,211.7376563,51.9296875,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,18639,2,1,0.15672573,0.107780926,0.10206147,0.156387061,2.93473196,21,2743.225378,2413.315186,81,0,0,81,87.8740625,27.31953125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,19473,2,19,0.21455479,0.14641762,0.09031017,0.156387061,2.93473196,11,4494.52981,3468.907898,140,0,0,140,186.3598438,42.7178125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,18067,2,1,0.14747119,0.08499064,0.06997984,0.156387061,2.93473196,14,2847.233545,2422.823938,20,0,0,20,31.38359375,11.018125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,24863,2,1,0.11187584,0.09423741,0.08872447,0.156387061,2.93473196,5,1592.150854,2943.883691,102,0,0,102,58.703125,13.546875,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,11587,1,2,0.15261382,0.12229213,0.12047873,0.156387061,2.93473196,21,4809.820459,1739.971167,90,0,0,90,178.09625,26.05515625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,10843,28,14,0.4562137,0.34722835,0.0552276,0.156387061,2.93473196,1,2832.497998,387.6909973,4,0,0,4,840.5835938,7.27015625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,31093,28,14,0.46623456,0.35569334,0.051865995,0.156387061,2.93473196,28,2428.40144,565.8487457,1,0,0,1,809.9676563,4.83171875,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,35328,2,19,0.21996415,0.15590267,0.07364447,0.156387061,2.93473196,14,3705.572095,2953.843384,252,0,0,253,202.841875,55.451875,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,20692,2,12,0.15962267,0.11426964,0.08220924,0.156387061,2.93473196,24,3241.857043,2897.987842,49,0,0,49,55.67765625,10.79234375,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,7829,19,18,0.563405,0.0867893,0.049603615,0.156387061,2.93473196,9,4454.15979,620.1681244,194,0,0,194,331.4017188,54.729375,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,18271,2,12,0.16745275,0.12694664,0.061729066,0.156387061,2.93473196,2,2902.499109,2264.297693,136,0,0,136,272.8340625,49.5815625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,24609,2,19,0.18212081,0.16454695,0.08114901,0.156387061,2.93473196,4,1511.728943,3233.147449,120,0,0,120,87.06125,46.46578125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,32814,2,1,0.1686828,0.15878266,0.062150538,0.156387061,2.93473196,11,5305.235986,3493.981445,131,0,0,131,207.538125,36.0346875,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,8796,1,2,0.18575197,0.116715506,0.099424206,0.156387061,2.93473196,3,4905.702783,1324.487909,174,1,0,175,330.001875,36.3959375,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,765,19,18,0.46298376,0.11907782,0.055844206,0.156387061,2.93473196,9,4715.234717,864.8760895,94,0,0,94,160.395,32.37703125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,12779,2,19,0.21791966,0.08203903,0.07799964,0.156387061,2.93473196,3,518.4368103,3468.064124,176,0,0,176,163.7817188,17.6109375,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,7052,1,2,0.21659191,0.1124259,0.10592843,0.156387061,2.93473196,18,2125.328918,2766.383728,101,0,0,101,173.4451563,31.3384375,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,11137,2,1,0.13486439,0.12588477,0.114199564,0.156387061,2.93473196,1,4720.426025,2015.766284,168,0,0,168,257.3454688,51.5684375,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,20181,28,14,0.46400648,0.2758223,0.06118787,0.156387061,2.93473196,19,1155.585583,1195.672961,2,0,0,2,832.7264063,6.7734375,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,35049,1,2,0.17507568,0.12511007,0.105507486,0.156387061,2.93473196,1,3858.228442,3170.217773,328,0,0,328,455.8523438,32.73828125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,27763,2,11,0.12675768,0.111691386,0.108010106,0.156387061,2.93473196,6,4022.223657,1195.770599,115,0,1,116,151.4089063,23.52640625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,33708,2,1,0.31962717,0.09728842,0.068178914,0.156387061,2.93473196,5,2105.862756,895.8140869,220,0,1,221,260.3257813,55.99375,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,31064,28,14,0.47690856,0.36309502,0.04828506,0.156387061,2.93473196,28,2298.173181,758.2919312,1,0,0,1,811.3675,5.960625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,31112,28,5,0.3923635,0.26010355,0.087786846,0.156387061,2.93473196,9,2004.34856,791.5660278,2,0,0,2,600.75875,14.85640625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,34739,2,17,0.16063537,0.15715769,0.0710342,0.156387061,2.93473196,11,3741.968945,2939.45647,158,0,0,158,136.010625,35.80890625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,33127,2,1,0.26319182,0.10183912,0.09398777,0.156387061,2.93473196,3,2348.063367,1084.297125,162,0,0,162,283.6715625,38.51828125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,32630,2,19,0.23168102,0.17015804,0.07126199,0.156387061,2.93473196,4,3347.357483,2052.522351,108,0,0,108,131.5401563,25.15203125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,8708,2,19,0.35760584,0.11000474,0.085415296,0.156387061,2.93473196,19,4774.527612,1535.163605,139,0,0,139,163.7365625,20.3203125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,2618,1,2,0.21848981,0.075797595,0.07503377,0.156387061,2.93473196,1,5388.322656,864.5416199,35,0,0,35,54.368125,23.2103125,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,10835,28,5,0.45997488,0.22207461,0.06938954,0.156387061,2.93473196,28,2782.890869,513.8812897,6,0,0,6,839.8159375,7.27015625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,6509,2,12,0.14292036,0.12583847,0.09210503,0.156387061,2.93473196,2,2305.428271,2786.912805,158,1,0,159,318.5321875,38.69890625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,31129,5,28,0.23393062,0.15074642,0.10592092,0.156387061,2.93473196,1,2054.568494,773.5474701,0,0,0,0,578.5870313,7.36046875,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,10837,28,14,0.47771883,0.36220962,0.04839968,0.156387061,2.93473196,28,2793.192346,385.837822,5,0,0,5,823.108125,5.82515625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,7843,19,2,0.4555866,0.12804675,0.07178523,0.156387061,2.93473196,9,4490.577808,638.5768188,174,0,0,174,238.78625,33.5059375,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,11527,2,5,0.24340631,0.118702665,0.060743704,0.156387061,2.93473196,1,4820.965088,2463.426172,39,0,0,39,121.6960938,6.09609375,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,10622,5,14,0.19027972,0.10753794,0.07459295,0.156387061,2.93473196,19,639.4769348,2645.926526,94,0,0,94,745.078125,5.82515625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,7042,2,19,0.15984245,0.1544981,0.06564108,0.156387061,2.93473196,18,2233.596423,2756.222742,104,0,0,104,147.6609375,24.745625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Stratified Sampling - Raw Data
