genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,status,Title
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,33623,13,2,0.107536174,0.099701256,0.08164674,0.156387061,2.93473196,3,2189.920618,1593.721674,319,0,0,320,181.9345313,65.8378125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14839,2,9,0.122731015,0.114568,0.08267304,0.156387061,2.93473196,9,4879.454883,2749.041943,171,0,0,171,170.9615625,39.15046875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,30885,9,2,0.15677895,0.14144775,0.13645688,0.156387061,2.93473196,17,5041.471606,2850.07677,45,0,0,45,55.22609375,14.67578125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,8535,13,2,0.111454174,0.09650594,0.08754562,0.156387061,2.93473196,22,1964.937903,3444.157458,157,0,0,157,145.8095313,33.18984375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15024,2,13,0.08976881,0.08404253,0.0684687,0.156387061,2.93473196,17,4707.08252,2793.724011,104,0,0,104,117.2707813,27.3646875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,2127,13,2,0.14850801,0.13214068,0.09994977,0.156387061,2.93473196,17,4954.692749,2804.756372,174,0,0,174,153.17,34.860625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15151,13,2,0.116549924,0.10671291,0.08005859,0.156387061,2.93473196,9,4727.804175,2720.972644,172,0,0,174,135.5590625,54.1875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,33440,2,9,0.11450149,0.09698461,0.09519967,0.156387061,2.93473196,8,2224.697571,1543.296088,22,0,0,22,36.305625,16.57234375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5572,13,2,0.18502642,0.17790693,0.08560954,0.156387061,2.93473196,17,2391.685632,3139.187378,109,0,0,109,58.5225,22.8490625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,6101,2,13,0.17868629,0.13906227,0.11975443,0.156387061,2.93473196,17,2347.339954,2905.545288,94,0,0,94,96.3634375,26.4615625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Stratified Sampling - Raw Data
